DOTA_Tooltip_ability_item_item_disperser_Lore,<font color='#F89F22'>在该模式下，削蓝降低了50%</font>,"<font color='#F89F22'>In this mode, mana cost -50%</font>",<font color='#F89F22'>В этом режиме расход маны -50%</font>,大散失
DOTA_Tooltip_ability_item_item_arcane_boots_Lore,<font color='#F89F23'>在该模式下，冷却时间有所降低，魔法回复提高了200%</font>,"<font color='#F89F23'>In this mode, cooldowns reduced, mana regen +200%</font>","<font color='#F89F23'>В этом режиме КД снижен, регенерация маны +200%</font>",回蓝鞋
DOTA_Tooltip_ability_item_item_guardian_greaves_Lore,<font color='#F89F24'>在该模式下，冷却时间有所降低，魔法回复提高了200%</font>,"<font color='#F89F24'>In this mode, cooldowns reduced, mana regen +200%</font>","<font color='#F89F24'>В этом режиме КД снижен, регенерация маны +200%</font>",大鞋
DOTA_Tooltip_Ability_item_exp_book,经验之书,Book of Experience,Книга опыта,
DOTA_Tooltip_Ability_item_exp_book_Description,<h1>使用：启迪</h1>直接提升%gain_level%级英雄等级。,<h1>Use: Enlightenment</h1>Instantly increases Hero Level by %gain_level%.,<h1>Использование: Enlightenment</h1>Мгновенно повышает уровень героя на %gain_level%.,
DOTA_Tooltip_Ability_item_exp_book_Lore,让兽变成神的东西。,Something that turns a beast into a god.,"То, что превращает зверя в бога.",
DOTA_Tooltip_Ability_item_bless_10139,定情信物,Token of Affection,Знак привязанности,福佑10139
DOTA_Tooltip_Ability_item_bless_10139_Description,选择一名友军使用，使用后永远连接于选定友军，无法自由移动。,Memories of the past...,Воспоминания о прошлом...,福佑10139
DOTA_Tooltip_Ability_item_bless_10139_Lore,把戟把交给继爸。,,,
DOTA_Tooltip_Ability_item_bless_box_1,福佑礼盒（蓝色）,Blessing Box (Blue),Коробка благословений (Синяя),福佑礼盒
DOTA_Tooltip_Ability_item_bless_box_1_Description,<h1>使用：命运馈赠</h1>额外获得一次福佑选择次数，每名玩家仅能使用一次。,<h1>Use: Fate's Gift</h1>Gain an additional blessing selection. Can only be used once per player.,<h1>Использование: Дар судьбы</h1>Получите дополнительный выбор благословения. Может быть использовано только один раз для каждого игрока.,福佑礼盒
DOTA_Tooltip_Ability_item_bless_box_2,福佑礼盒（紫色）,Blessing Box (Purple),Коробка благословений (Фиолетовая),福佑礼盒
DOTA_Tooltip_Ability_item_bless_box_2_Description,<h1>使用：命运馈赠</h1>额外获得一次福佑选择次数，每名玩家仅能使用一次。,<h1>Use: Fate's Gift</h1>Gain an additional blessing selection. Can only be used once per player.,<h1>Использование: Дар судьбы</h1>Получите дополнительный выбор благословения. Может быть использовано только один раз для каждого игрока.,福佑礼盒
DOTA_Tooltip_Ability_item_bless_box_3,福佑礼盒（橙色）,Blessing Box (Orange),Коробка благословений (Оранжевая),福佑礼盒
DOTA_Tooltip_Ability_item_bless_box_3_Description,<h1>使用：命运馈赠</h1>额外获得一次福佑选择次数，每名玩家仅能使用一次。,<h1>Use: Fate's Gift</h1>Gain an additional blessing selection. Can only be used once per player.,<h1>Использование: Дар судьбы</h1>Получите дополнительный выбор благословения. Может быть использовано только один раз для каждого игрока.,福佑礼盒