--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 0b85d8d 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian
random_event_1011_desc,本局游戏中，英雄专属福佑权重 <font color='#83d18a'>+{pct}%</font>,Weight of Hero-Specific Blessings <font color='#83d18a'>+{pct}%</font> in this game.,Вес эксклюзивных благословений героя: <font color='#83d18a'>+{pct}%</font> в этой игре.
random_event_1013_desc,本局游戏中，所有玩家每次通过升级选择蓝色福佑时，额外获得 <font color='#83d18a'>1</font> 个随机蓝色福佑,"In this match, whenever a player chooses a Blue Boon upon leveling up, they receive <font color='#83d18a'>1</font> additional random Blue Boon.","В этой игре каждый раз, когда игрок выбирает синее благословение при повышении уровня, он дополнительно получает <font color='#83d18a'>1</font> случайное синее благословение."
random_event_1018_desc,开局获得可升级的福佑礼盒（蓝色）， <font color='#83d18a'>{time1}</font> 分钟时如果未使用， 升级为福佑礼盒（紫色）， <font color='#83d18a'>{time2}</font> 分钟时如果未使用，升级为福佑礼盒（橙色）,"Start the match with a Boon Gift Box (Blue). If unused by <font color='#83d18a'>{time1}</font> minutes, it upgrades to a Boon Gift Box (Purple); if still unused by <font color='#83d18a'>{time2}</font> minutes, it upgrades to a Boon Gift Box (Orange).","В начале игры выдаётся Набор благословений (синий). Если он не будет использован к <font color='#83d18a'>{time1}</font> мин., то улучшится до Набора благословений (фиолетовый), а если не использовать его к <font color='#83d18a'>{time2}</font> мин. — улучшится до Набора благословений (оранжевый)."
random_event_1020_desc,本局游戏中，所有玩家均拥有福佑 <font color='#00D7FF'>[龟龟]</font> 和福佑 <font color='#00D7FF'>[不会以为是我杀的吧]</font> （不会获得龟龟的金币）<br>本事件触发几率为其他事件的5%,"In this match, all players are granted the Boons <font color='#00D7FF'>[Turtle]</font> and <font color='#00D7FF'>[You Thought It Was Me?]</font> (Does not grant gold from Turtle).","В этой игре все игроки получают благословения <font color='#00D7FF'>[Черепашка]</font> и <font color='#00D7FF'>[Думали, это я?]</font> (золото от Черепашки не начисляется)."
random_event_1021_desc,本局游戏中，所有玩家均拥有福佑 <font color='#b619ff'>[来财]</font> ,"In this match, all players are granted the Boon <font color='#b619ff'>[Fortune]</font>.",В этой игре все игроки получают благословение <font color='#b619ff'>[Приток золота]</font>.
random_event_1022_desc,友方英雄在你周围 <font color='#83d18a'>{range}</font> 码内阵亡时，你获得 <font color='#83d18a'>最大生命值×{pct}%</font> 护盾。<br>该护盾会在 <font color='#83d18a'>{time}</font> 秒内逐渐消失。<br>每名友方英雄每 <font color='#83d18a'>{cooldown}</font> 秒最多触发一次。,"When an allied hero dies within <font color='#83d18a'>{range}</font> range of you, gain a shield equal to <font color='#83d18a'>{pct}%</font> of your Max HP. The shield gradually decays over <font color='#83d18a'>{time}</font>s. Each allied hero can trigger this effect at most once every <font color='#83d18a'>{cooldown}</font>s. Repeated triggers stack, with each shield tracking its duration independently.","Когда союзный герой погибает в радиусе <font color='#83d18a'>{range}</font> от вас, вы получаете щит в размере <font color='#83d18a'>{pct}%</font> от макс. здоровья. Щит постепенно исчезает за <font color='#83d18a'>{time}</font> сек. Каждый союзный герой может активировать эффект не чаще одного раза в <font color='#83d18a'>{cooldown}</font> сек. При повторном срабатывании щиты складываются, а длительность каждого отсчитывается отдельно."
random_event_1023_desc,击杀你的敌方英雄会被标记。你对该英雄造成的伤害 <font color='#83d18a'>+{damage_pct}%</font>。<br>击杀被标记的英雄时，额外获得 <font color='#83d18a'>{gold}</font> 金币并清除该标记。<br>同时最多标记 <font color='#83d18a'>{max_target}</font> 名敌方英雄。,"The enemy hero who kills you is marked. Damage dealt to that hero <font color='#83d18a'>+{damage_pct}%</font>. Killing the marked hero grants an additional <font color='#83d18a'>{gold}</font> Gold and clears that mark. Up to <font color='#83d18a'>{max_target}</font> enemy heroes can be marked at a time.","Вражеский герой, убивший вас, получает метку. Урон по этому герою <font color='#83d18a'>+{damage_pct}%</font>. За убийство отмеченного героя вы дополнительно получаете <font color='#83d18a'>{gold}</font> золота, и метка снимается. Одновременно можно отметить не более <font color='#83d18a'>{max_target}</font> вражеских героев."
random_event_1024_desc,本局游戏永远处于夜晚。,The match remains in nighttime permanently.,В этой игре всегда царит ночь.
random_event_1025_desc,己方杀敌数最多的英雄被标记为“赵云”，阵亡数最多的英雄被标记为“阿斗”。<br>当二者相距不超过 <font color='#83d18a'>{range}</font> 码时：赵云伤害输出 <font color='#83d18a'>+{shI}%</font>、承受伤害 <font color='#83d18a'>+{csshI}%</font>；阿斗承受伤害 <font color='#83d18a'>-{csshI}%</font>。<br>若二者为同一英雄，效果不生效。,"When the hero with the most kills and the hero with the most deaths are within <font color='#83d18a'>{range}</font> range of each other, the former gains <font color='#83d18a'>+{shI}%</font> Damage Output and takes <font color='#83d18a'>+{csshI}%</font> damage, while the latter takes <font color='#83d18a'>-{csshI}%</font> damage. No effect if they are the same hero.","Когда герой с наибольшим числом убийств и герой с наибольшим числом смертей находятся в радиусе <font color='#83d18a'>{range}</font> друг от друга, первый наносит на <font color='#83d18a'>{shI}%</font> больше урона и получает на <font color='#83d18a'>{csshI}%</font> больше урона, а второй получает на <font color='#83d18a'>{csshI}%</font> меньше урона. Не действует, если это один и тот же герой."
random_event_1001_title,无限,Infinite,Бесконечность
random_event_1002_title,暴力,Violence,Жестокость
random_event_1003_title,混沌,Chaos,Хаос
random_event_1004_title,灵气复苏,Orange,Оранжевый
random_event_1005_title,雾径回廊,Fogtrail Corridor,Коридор туманных троп
random_event_1006_title,火锅,Hotpot,Хот-пот
random_event_1007_title,救救我（极低概率）,Help!,Помогите!
random_event_1008_title,同律启示,Harmonic Revelation,Откровение гармонии
random_event_1009_title,我要验牌,Deal,Раздача
random_event_1010_title,黄金符,Bounty Rune,Руна богатства
random_event_1011_title,本能,Instinct,Инстинкт
random_event_1013_title,蓝色妖姬,Sneakers,Кеды
random_event_1018_title,早用早享受晚用橙福佑,Investment,Инвестиции
random_event_1020_title,鸭鸭杀（极低概率）,Hunting Time,Время охоты
random_event_1021_title,八方来财,Investment,Инвестиции
random_event_1022_title,结义,Comrades-in-Arms,Боевое братство
random_event_1023_title,复仇,Revenge,Месть
random_event_1024_title,夜战,Night Battle,Ночная битва
random_event_1025_title,赵云救阿斗,Zhao Yun Rescues A Dou,Чжао Юнь спасает А-Доу