--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build 5e0d361 
  ~ auto-generated — do not edit
]]


﻿Tokens,Schinese,English,Russian,
loading_error_no_match_team,检测到对方是五黑车队，你可以逃跑并且不会受到任何逃跑惩罚,5-stack detected. You may leave without penalty.,Обнаружена группа из 5 игроков. Вы можете покинуть игру без штрафа.,
hero_bless_tips,可能出现的英雄专属福佑,Possible Hero Blessings,Возможные благословения героя,
nav_player_center,个人,Personal,Личное,
player_center_title_personal,个人,Personal,Личное,
player_center_profile_title,PROFILE,PROFILE,ПРОФИЛЬ,
player_center_nav_achievement,成就页面,Achievements,Достижения,
player_center_nav_profile,个人资料,Profile,Профиль,
player_center_nav_record,战绩统计,Stats,Статистика,
player_center_nav_bless_catalog,福佑图鉴,Blessing Codex,Кодекс благословений,
player_center_bless_catalog_common,通用,Common,Общие,
player_center_bless_catalog_exclusive,专属,Exclusive,Особые,
player_center_bless_catalog_search_label,搜索,Search,Поиск,
player_center_bless_catalog_scope_label,类型,Type,Тип,
player_center_bless_catalog_quality_label,品质,Quality,Качество,
player_center_bless_catalog_search_placeholder,输入关键词搜索福佑,Enter keywords to search blessings,Введите ключевые слова,
player_center_bless_catalog_count,当前筛选：{count} 个福佑,Filtered: {count} blessings,Отфильтровано: {count},
player_center_bless_catalog_quality_r,蓝色,Blue,Синие,
player_center_bless_catalog_quality_sr,紫色,Purple,Фиолетовые,
player_center_bless_catalog_quality_ssr,橙色,Orange,Оранжевые,
player_center_bless_catalog_tag_filter,标签筛选,Tag Filter,Фильтр тегов,
player_center_bless_catalog_hero_filter,英雄筛选,Hero Filter,Фильтр героев,
player_center_bless_catalog_hero_search_placeholder,搜索英雄名称或 ID,Search hero name or ID,Поиск героя или ID,
player_center_bless_catalog_all_heroes,全部英雄,All Heroes,Все герои,
player_center_bless_catalog_loading,加载中...,Loading...,Загрузка...,
player_center_bless_catalog_empty,暂无结果,No results,Нет результатов,
player_center_bless_catalog_tags,标签,Tags,Теги,
player_center_bless_catalog_heroes,适用英雄,Heroes,Герои,
player_center_nav_faq,常见问题,FAQ,Частые вопросы,
player_center_faq_title,常见问题,Frequently Asked Questions,Частые вопросы,
player_center_faq_subtitle,共 {count} 条，点击问题查看回答,{count} entries. Select a question to view its answer.,Всего: {count}. Нажмите на вопрос чтобы увидеть ответ.,
player_center_faq_empty,暂无常见问题,No FAQ entries are configured.,Раздел пока пуст.,
faq_q1,福佑描述中的“控制效果”指什么？,What counts as a control effect in Blessing descriptions?,Что считается эффектом контроля в описаниях благословений?,
faq_a1,"控制效果包括眩晕、妖术、缠绕、恐惧、嘲讽、冻结和无法行动。<br><font color='#8e8e8e'>新增控制效果，或重新施加控制并刷新现有控制效果时，都会视为一次“施加控制效果”。仅直接延长现有控制的持续时间、且未触发刷新时，不会再次判定。</font>","Control effects include stun, hex, root, fear, taunt, freeze, and being unable to act.<br><font color='#8e8e8e'>Adding a control effect, or reapplying control so that the existing effect is refreshed, counts as applying a control effect. Merely extending an existing control's duration without triggering a refresh does not count again.</font>","К эффектам контроля относятся оглушение, превращение, оцепенение, страх, провокация, заморозка и полная потеря возможности действовать.<br><font color='#8e8e8e'>Добавление эффекта контроля или его повторное применение с обновлением существующего эффекта считается наложением контроля. Простое продление длительности существующего контроля без срабатывания обновления не считается повторным наложением.</font>",
faq_q2,福佑描述中的“技能命中”指什么？,What counts as an ability hit in Blessing descriptions?,Что считается попаданием способности в описаниях благословений?,
faq_a2,"技能完成施法后（切换技能不属于施法），该技能对每个敌方目标第一次造成伤害时，判定为一次技能命中。同次施法可分别命中多个目标，但对同一目标最多触发一次。再次释放同一技能会重置命中记录；因此，残留的持续伤害也可能消耗最新一次施法的命中记录。","After an ability is cast (toggling an ability does not count as a cast), the first damage it deals to each enemy target counts as an ability hit. One cast can hit multiple targets, but can trigger only once per target. Casting the same ability again resets its hit record, so lingering damage may consume the newest cast's record.","После применения способности (переключение не считается применением) первое нанесение урона этой способностью каждой вражеской цели считается попаданием способности. Одно применение может сработать по нескольким целям, но не более одного раза на каждую цель. Повторное применение той же способности сбрасывает запись, поэтому оставшийся периодический урон может израсходовать запись нового применения.",
faq_q3,惩罚次数是什么？,What are penalty counts?,Что такое штрафные очки?,
faq_a3,"秒退会累计 <font color='#83d18a'>5</font> 次惩罚次数，暂无叠加上限。每日前 <font color='#83d18a'>5</font> 次胜利奖励结算时，每次会清除 <font color='#83d18a'>1</font> 次惩罚并抵消该次奖励；没有惩罚次数时，奖励正常发放。","Leaving early adds <font color='#83d18a'>5</font> penalty counts, with no current stack limit. Each of the first <font color='#83d18a'>5</font> daily victory reward settlements removes <font color='#83d18a'>1</font> penalty count and consumes that reward. Rewards are granted normally when no penalty counts remain.","Досрочный выход добавляет <font color='#83d18a'>5</font> штрафных очков без текущего верхнего предела. При каждой из первых <font color='#83d18a'>5</font> ежедневных наград за победу снимается <font color='#83d18a'>1</font> штрафное очко, но соответствующая награда не выдаётся. Если штрафных очков нет, награда выдаётся как обычно.",
faq_q4,“马猴烧酒”“丢硬币”等临时技能增强如何计算？,How do temporary Spell Amplification effects such as Magical Girl and Coin Toss work?,Как работают временные усиления заклинаний вроде Magical Girl и Coin Toss?,
faq_a4,"临时加成按技能分别记录。释放技能时会锁定该技能本次的临时加成；在同一技能下一次释放前，以该技能为伤害来源的所有伤害都享受该加成，释放其他技能不会将其清除。再次释放同一技能时，会用新的数值重置记录。<br>例如：沙王释放地震后，后续由魔晶产生且伤害来源仍为地震的地震波，也会沿用本次地震的临时增幅，直至下一次释放地震。具体触发与消耗条件仍以福佑描述为准。","Temporary bonuses are recorded separately for each ability. Casting an ability locks in that cast's temporary bonus; until that same ability is cast again, all damage whose source is that ability receives the bonus. Casting another ability does not clear it. The next cast of the same ability replaces the recorded value.<br>For example, after Sand King casts Epicenter, later Epicenter pulses created by Aghanim's Shard keep that cast's temporary amplification until Epicenter is cast again. The Blessing description still determines its exact trigger and consumption rules.","Временный бонус записывается отдельно для каждой способности. При применении фиксируется бонус этого применения; пока та же способность не применена снова, весь урон с ней в качестве источника получает этот бонус. Применение другой способности его не снимает, а новое применение той же способности заменяет записанное значение.<br>Например, после применения Epicenter последующие волны от Aghanim's Shard сохраняют временное усиление этого применения до следующего Epicenter. Точные условия срабатывания и расходования указаны в описании благословения.",
faq_q5,所有玩家获得的福佑品质都相同吗？,Do all players receive Blessings of the same quality?,Все ли игроки получают благословения одинакового качества?,
faq_a5,"正常情况下，同一轮等级三选一的基础品质会在开局时统一生成，因此所有玩家相同。但个人福佑或特殊效果可能在基础品质上追加提升，所以最终显示的品质不保证始终一致。礼盒、随机获得等非等级三选一来源按各自规则结算。","Normally, the base quality for each level-up three-choice round is generated once at match start and is shared by all players. Personal Blessings or special effects can then increase a player's final quality, so the displayed quality is not always guaranteed to match. Gift boxes, random grants, and other non-level-up sources follow their own rules.","Обычно базовое качество каждого выбора из трёх при повышении уровня один раз определяется в начале матча и одинаково для всех игроков. Личные благословения и особые эффекты могут повысить итоговое качество отдельного игрока, поэтому отображаемое качество не всегда совпадает. Подарочные коробки, случайные выдачи и другие источники используют собственные правила.",
faq_q6,"技能增强、伤害输出、承受伤害、基础攻击力百分比和总攻击力百分比有什么区别？","What is the difference between Spell Amplification, Damage Output, Damage Taken, Base Attack Damage %, and Total Attack Damage %?","Чем отличаются усиление заклинаний, исходящий урон, получаемый урон, процент базового урона атаки и процент общего урона атаки?",
faq_a6,"技能增强提高受技能增强影响的技能伤害；伤害输出调整自身造成的全部伤害；承受伤害调整自身受到的伤害。这三者属于彼此独立的乘区，按乘法叠加。<br><font color='#83d18a'>基础攻击力百分比</font>以角色的白字基础攻击力为基准，计算结果表现为额外绿字攻击力，与 Dota 2 原生概念一致。<br><font color='#83d18a'>总攻击力百分比</font>则以白字基础攻击力与已有绿字额外攻击力之和为基准，再按比例调整攻击力。","Spell Amplification increases ability damage affected by Spell Amplification; Damage Output modifies all damage you deal; Damage Taken modifies damage you receive. These are separate multiplicative categories.<br><font color='#83d18a'>Base Attack Damage %</font> is calculated from the hero's white base damage and appears as additional green damage, matching Dota 2's native concept.<br><font color='#83d18a'>Total Attack Damage %</font> is calculated from the sum of white base damage and existing green bonus damage, then adjusts that total proportionally.","Усиление заклинаний повышает урон способностей, на который оно действует; исходящий урон изменяет весь наносимый вами урон; получаемый урон изменяет урон, получаемый вами. Это отдельные множители, которые перемножаются.<br><font color='#83d18a'>Процент базового урона атаки</font> рассчитывается от белого базового урона героя и отображается как дополнительный зелёный урон, как в обычной Dota 2.<br><font color='#83d18a'>Процент общего урона атаки</font> рассчитывается от суммы белого базового и уже имеющегося зелёного дополнительного урона, после чего пропорционально изменяет эту сумму.",
faq_q7,“普通攻击”和“攻击命中”有什么区别？,"What is the difference between a ""basic attack"" and ""an attack landing""?",Чем отличаются «обычная атака» и «попадание атакой»?,
faq_a7,"“普通攻击”指英雄主动执行完整的普通攻击流程；“攻击命中”指任意攻击记录实际命中目标，范围更广，也包括由技能触发的强制攻击，例如虚张声势和窒碍短匕。因此，只写“普通攻击”的福佑通常不会被这类强制攻击触发；写“攻击命中”的福佑则可能触发，但仍需满足该福佑的目标、冷却等条件。","A “basic attack” means the hero actively performs the complete basic attack flow. “An attack landing” means any attack record actually hits its target; this is broader and includes forced attacks triggered by abilities such as Swashbuckle and Stifling Dagger. Therefore, a Blessing that says “basic attack” normally will not trigger from those forced attacks, while one that says “when an attack lands” can, provided its target, cooldown, and other conditions are met.","«Обычная атака» означает, что герой самостоятельно выполняет полный цикл обычной атаки. «Попадание атакой» означает, что любая запись атаки фактически достигла цели; это более широкое понятие, включающее принудительные атаки от способностей, например Swashbuckle и Stifling Dagger. Поэтому благословение с условием «обычной атаки» обычно не срабатывает от таких принудительных атак, а условие «при попадании атакой» может сработать, если выполнены требования к цели, перезарядке и прочие условия.",
player_center_developing,开发中,Work in Progress,В разработке,
player_center_tab_all,全部,All,Все,
player_center_tab_journey,征程,Journey,Путь,
player_center_tab_yueka,月卡,Monthly Pass,Месячный пропуск,
player_center_tab_recharge,充值,Top-up,Пополнение,
player_center_tab_jika,季卡,Season Pass,Сезонный пропуск,
player_center_tab_special,特殊,Special,Особое,
player_center_default_achievement_name,成就,Achievements,Достижения,
player_center_default_progress_prefix,进度,Progress,Прогресс,
player_center_default_no_target,-,-,-,
player_center_status_incomplete,未完成,Incomplete,Не завершено,
player_center_claim_monthly,月卡可领,Monthly Pass Claimable,Доступно (Месячный),
player_center_claim_quarterly,季卡可领,Season Pass Claimable,Доступно (Сезонный),
need_170002,月卡可领,Monthly Pass Claimable,Доступно (Месячный),
need_170003,季卡可领,Season Pass Claimable,Доступно (Сезонный),
need_170002_desc,需拥有月卡特权且未过期,Requires active Monthly Pass,Требуется активный месячный пропуск,
need_170003_desc,需拥有季卡特权且未过期,Requires active Season Pass,Требуется активный сезонный пропуск,