--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
  ~ special for t.me/wildguild

  ~ build ec5ff63 
  ~ auto-generated — do not edit
]]


Tokens,English,SChinese
make_panel_原词条种子,Original {seed},原 {seed}
make_panel_重铸,Reforging,重铸
make_panel_重铸说明,Reforging,装备重铸后会随机对非[固定]的基础属性进行变化，重铸后可以选择是否保留新属性，每次重铸无论是否保留，都会提升重铸等级。重铸等级越高，重铸会有更大的概率获得更好的属性，重铸等级到达9级时，装备将不能再继续重铸。
make_panel_待升华装备,Equipment to Ascend,待升华装备
make_panel_装备种子X,Equipment Seed: {seed},装备种子：{seed}
make_panel_放入可升华装备,Insert equipment that can be ascended,放入可升华装备
make_panel_绑定命石,Bound Fate Stone,绑定命石
make_panel_命石种子X,Fate Stone Seed: {seed},命石种子：{seed}
make_panel_放入与装备绑定的命石,Insert the Fate Stone bound to this equipment,放入与装备绑定的命石
make_panel_升华材料,Ascension Materials,升华材料
make_panel_放入装备后显示升华材料,Insert equipment to view Ascension materials,放入装备后显示升华材料
make_panel_当前重铸等级无需补充精华,No additional essence is required at the current Reforge level,当前重铸等级无需补充精华
make_panel_升华结果,Ascension Result,升华结果
make_panel_升华结果说明,Ascension upgrades the equipment into Ancestral Equipment and applies the Fate Stone's random properties.,升华后装备将成为先祖装备，并获得命石的随机属性。
make_panel_命石与装备不匹配,The Fate Stone does not match this equipment,命石与装备不匹配
make_panel_放入装备和命石预览,Insert equipment and its bound Fate Stone to preview,放入装备和命石预览
make_panel_升华属性变化,Ascension Attribute Changes,升华属性变化
make_panel_无可预览属性变化,No attribute changes to preview,无可预览属性变化
make_panel_无装备效果,No equipment effects,无装备效果
make_panel_升华,Ascend,升华
make_panel_固定属性说明,Fixed attributes are preserved during Reforging.,固定属性在重铸时不会发生变化。
make_panel_强化属性说明,Enhanced attributes have been improved by Reforging.,强化属性已通过重铸得到提升。
make_panel_强化,Enhanced,强化
make_panel_神,Divine,神
make_panel_无可重铸属性,No attributes can be Reforged,无可重铸属性
make_panel_基础技能属性,Base / Ability Attributes,基础/技能属性
make_panel_神铸,Divine Forged,神铸
make_panel_无固定属性,No fixed attributes,无固定属性
make_panel_固定,Fixed,固定
make_panel_该装备已达到重铸上限,This equipment has reached the Reforge limit,该装备已达到重铸上限
make_panel_可使用重铸石替代,A Reforge Stone can be used instead,可使用重铸石替代
make_panel_重铸等级X,Reforge Level {current}/{max},重铸等级 {current}/{max}
make_panel_重铸等级,Reforge Level,重铸等级
make_panel_可重铸属性,Reforgeable Attributes,可重铸属性
make_panel_固定属性,Fixed Attributes,固定属性
make_panel_reforge_feedback_bad_1,Oops. Missed the strike!,ou，砸歪了！
make_panel_reforge_feedback_bad_2,The heat is off,火候不太对
make_panel_reforge_feedback_bad_3,The hammer went wide!,锤路偏了！
make_panel_reforge_feedback_bad_4,The furnace is unstable!,炉温乱了！
make_panel_reforge_feedback_bad_5,The molten metal is dull,铁水发闷
make_panel_reforge_feedback_bad_6,That strike missed,这一锤空了
make_panel_reforge_feedback_bad_7,The sparks turned dark,火星发黑
make_panel_reforge_feedback_bad_8,Easy. Try again!,别急，再来！
make_panel_reforge_feedback_good_1,Fine quench,优质淬火
make_panel_reforge_feedback_good_2,Perfect heat,火候正好
make_panel_reforge_feedback_good_3,Steady strike,稳稳落锤
make_panel_reforge_feedback_good_4,Smooth forging,锻面平整
make_panel_reforge_feedback_good_5,The grain is aligned,铁纹归位
make_panel_reforge_feedback_good_6,Solid strike,这一锤稳
make_panel_reforge_feedback_good_7,The furnace runs well,炉火很顺
make_panel_reforge_feedback_good_8,Good finish,成色不错
make_panel_reforge_feedback_great_1,Perfect rhythm,完美的节奏
make_panel_reforge_feedback_great_2,Forging lines glow!,锻纹发亮！
make_panel_reforge_feedback_great_3,Beautiful strike!,这一锤漂亮！
make_panel_reforge_feedback_great_4,Sparks form a line!,火星成线！
make_panel_reforge_feedback_great_5,Clear hammer ring!,锤音清亮！
make_panel_reforge_feedback_great_6,The grain unfolds!,纹路舒展开！
make_panel_reforge_feedback_great_7,Beautiful quench!,淬火很漂亮！
make_panel_reforge_feedback_great_8,Great hammerwork!,好锤法！
make_panel_reforge_feedback_perfect_1,Divine forging!,神一般的铸造！
make_panel_reforge_feedback_perfect_2,Perfect rhythm,完美的节奏
make_panel_reforge_feedback_perfect_3,The furnace obeys!,炉火听令！
make_panel_reforge_feedback_perfect_4,One strike shapes the edge!,一锤定锋！
make_panel_reforge_feedback_perfect_5,Golden grain appears!,金纹乍现！
make_panel_reforge_feedback_perfect_6,Godlike heat!,火候封神！
make_panel_reforge_feedback_perfect_7,The forging soul takes shape!,锻魂成形！
make_panel_reforge_feedback_perfect_8,Genius hammerwork!,天才锤法！
make_panel_reforge_feedback_enhanced_1,Enhanced grain awakened!,强化纹路觉醒！
make_panel_reforge_feedback_enhanced_2,Quenching breakthrough!,淬火突破！
make_panel_reforge_feedback_enhanced_3,Enhanced affix revealed!,强化词条显现！
make_panel_reforge_feedback_enhanced_4,Golden flame enters the grain!,金焰入纹！
make_panel_reforge_feedback_enhanced_5,Refinement ascended!,精炼升格！
make_panel_reforge_feedback_enhanced_6,Forging grain overloaded!,锻纹过载！
make_panel_reforge_feedback_enhanced_7,Heat breakthrough!,火候突破！
make_panel_reforge_feedback_enhanced_8,Edge strengthened!,锋芒增强！
make_panel_reforge_feedback_divine_1,Divine affix arrives!,神铸词条降临！
make_panel_reforge_feedback_divine_2,Divine flame enters the soul!,神火入魂！
make_panel_reforge_feedback_divine_3,Heavenly craft opens the edge!,天工开刃！
make_panel_reforge_feedback_divine_4,Divine pattern set!,神纹落定！
make_panel_reforge_feedback_divine_5,Furnace core resonates!,炉心共鸣！
make_panel_reforge_feedback_divine_6,Fated edge forged!,天命成锋！
make_panel_reforge_feedback_divine_7,Crowned in golden flame!,金焰加冕！
make_panel_reforge_feedback_divine_8,Divine hammer seals it!,神锤定音！