DOTA_Tooltip_ability_bless_10169_cat_ability_1_speed_dur,持续时间：,Duration:,Длительность:,指挥官技能 - 撤退
DOTA_Tooltip_ability_bless_10169_cat_ability_2,集火！,Focus Fire!,Сосредоточить огонь!,指挥官技能 - 集火
DOTA_Tooltip_ability_bless_10169_cat_ability_2_Description,使目标受到的伤害增加。,Greatly increases damage taken by the target.,Значительно увеличивает получаемый целью урон.,指挥官技能 - 集火
DOTA_Tooltip_ability_bless_10169_cat_ability_2_dmg_pct,%承受伤害增加：,%Damage Taken Increase:,%Увеличение получаемого урона:,指挥官技能 - 集火
DOTA_Tooltip_ability_bless_10169_cat_ability_2_dmg_dur,持续时间：,Duration:,Длительность:,指挥官技能 - 集火
DOTA_Tooltip_ability_bless_10169_cat_ability_3,保护！,Protect!,Защитить!,指挥官技能 - 保护
DOTA_Tooltip_ability_bless_10169_cat_ability_3_Description,使目标英雄获得基于其最大生命值百分比的护盾。,Grants the target hero a shield based on a percentage of their maximum health.,Дает целевому герою щит на основе процента от его максимального здоровья.,指挥官技能 - 保护
DOTA_Tooltip_ability_bless_10169_cat_ability_3_hp_pct,%护盾生命值百分比：,%Shield Health:,%Здоровья щита:,指挥官技能 - 保护
DOTA_Tooltip_ability_primal_beast_colossal_Lore,<font color='#F89F21'>在该模式下，生命值需求提高至500</font>,"<font color='#F89F21'>In this mode, HP req. up to 500</font>",<font color='#F89F21'>В этом режиме HP треб. до 500</font>,
DOTA_Tooltip_ability_nyx_assassin_neuro_sting_Lore,<font color='#F89F21'>在该模式下，削蓝降低了9%</font>,"<font color='#F89F21'>In this mode, Mana Burn reduced 9%</font>",<font color='#F89F21'>В этом режиме выжиг. маны -9%</font>,
DOTA_Tooltip_ability_nyx_assassin_jolt_Lore,<font color='#F89F21'>在该模式下，削蓝削弱了66%</font>,"<font color='#F89F21'>In this mode, Mana Burn weakened 66%</font>",<font color='#F89F21'>В этом режиме выжиг. маны слабее на 66%</font>,
DOTA_Tooltip_ability_antimage_mana_break_Lore,<font color='#F89F21'>在该模式下，削蓝削弱了约66%</font>,"<font color='#F89F21'>In this mode, Mana Burn weakened ~66%</font>",<font color='#F89F21'>В этом режиме выжиг. маны слабее ок. 66%</font>,
DOTA_Tooltip_ability_queenofpain_scream_of_pain_Lore,<font color='#F89F21'>在该模式下，自虐伤害由25%降低至5%</font>,"<font color='#F89F21'>In this mode, self-DMG from 25% to 5%</font>",<font color='#F89F21'>В этом режиме урон по себе с 25% до 5%</font>,
DOTA_Tooltip_ability_special_bonus_unique_tidehunter_attack_trigger_smash,攻击有{s:chance}%几率触发锚击（锚击无法触发锚击）,{s:chance}% Chance to trigger Anchor Smash on attack (Anchor Smash cannot trigger Anchor Smash),{s:chance}% шанс при атаке применить Anchor Smash (не срабатывает от самой способности)
