--[[
  ~ dumper · customs · dota2
  ~ credits: rou (a.k.a internetenemy), qfun(a.k.a qfun_g9s)
DOTA_Tooltip_modifier_pa_003_mark_attacker,Bùng nổ ấn ký
DOTA_Tooltip_modifier_pa_003_mark_attacker_Description,"Khi tấn công trúng, thêm ấn ký có thể chồng lên cho mục tiêu."
DOTA_Tooltip_modifier_pa_003_mark_debuff,Ấn ký
DOTA_Tooltip_modifier_pa_003_mark_debuff_Description,Khi đạt đủ lớp sẽ kích hoạt một lần sát thương và xóa ấn ký đó.
DOTA_Tooltip_modifier_pa_005_insight,Thấu hiểu
DOTA_Tooltip_modifier_pa_005_insight_Description,"Tấn công sẽ chồng Nhanh nhẹn, mỗi giây mất 1 lớp."
DOTA_Tooltip_modifier_pa_007_blur,Mờ ảo
DOTA_Tooltip_modifier_pa_007_blur_Description,"Phantom Assassin nhận trạng thái mờ ảo, sau khi đánh thường trúng kẻ địch sẽ thực hiện thêm một lần tấn công."
DOTA_Tooltip_modifier_pa_008_bing_shi,Thế binh
DOTA_Tooltip_modifier_pa_008_bing_shi_Description,"Tiêu hao toàn bộ Binh Thế khi đòn đánh thường tiếp theo trúng mục tiêu, gây thêm lượng sát thương phép tương đương."
DOTA_Tooltip_modifier_pa_008_gem_overheal_pool,Tích Máu
DOTA_Tooltip_modifier_pa_008_gem_overheal_pool_Description,"Máu hút tràn được lưu trữ trong bể, liên tục chuyển hóa thành hồi máu."
DOTA_Tooltip_modifier_pa_011_dexterity_training,Huấn Luyện Khéo Léo
DOTA_Tooltip_modifier_pa_011_dexterity_training_Description,"Nhận né tránh, khi kích hoạt né tránh sẽ cộng dồn tốc độ di chuyển."
DOTA_Tooltip_modifier_item_0099_erosa_ritual,Nghi Thức Erosa
DOTA_Tooltip_modifier_item_0099_erosa_ritual_Description,"Khi bị tấn công, nhận cộng dồn hồi phép, mỗi cộng dồn cung cấp 0.2 điểm/giây hồi phép, tối đa 10 cộng dồn, và mỗi 3 giây giảm 1 cộng dồn."
DOTA_Tooltip_modifier_item_0209_doom,Tai Ương
DOTA_Tooltip_modifier_item_0209_doom_Description,Giảm kháng phép.
DOTA_Tooltip_modifier_item_0221_soul_rend,Xé Linh Hồn
DOTA_Tooltip_modifier_item_0221_soul_rend_Description,"Khi kết thúc, gây một phần sát thương nhận được trong thời gian đó."
DOTA_Tooltip_modifier_item_0225_guard,Bảo Hộ
DOTA_Tooltip_modifier_item_0225_guard_Description,"Nhận giới hạn khiên tạm thời, giảm tốc độ di chuyển."
DOTA_Tooltip_modifier_item_0240,Cứng Rắn
DOTA_Tooltip_modifier_item_0240_Description,Tăng sát thương và kháng sát thương.
DOTA_Tooltip_modifier_item_0241,Đẫm máu
DOTA_Tooltip_modifier_item_0241_Description,"Khi máu thấp, nhận thêm tốc độ tấn công, hút máu khi tấn công và sát thương tấn công cộng thêm."
DOTA_Tooltip_modifier_item_0250_aura_effect,Cạn ly
DOTA_Tooltip_modifier_item_0250_aura_effect_Description,Nhận thêm tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0251_buff,Ộp ộp
DOTA_Tooltip_modifier_item_0251_buff_Description,Hồi máu liên tục.
DOTA_Tooltip_modifier_item_0252_buff,Chế độ ngủ
DOTA_Tooltip_modifier_item_0252_buff_Description,Tăng may mắn rơi vật phẩm.
DOTA_Tooltip_modifier_item_0253,Quyết đấu
DOTA_Tooltip_modifier_item_0253_Description,Tăng tốc độ tấn công dựa trên số lượng kẻ địch.
DOTA_Tooltip_modifier_item_0255_self_slow,Khiên chiến
DOTA_Tooltip_modifier_item_0255_self_slow_Description,Tốc độ di chuyển giảm.
DOTA_Tooltip_modifier_item_0255_shield,Khiên chiến
DOTA_Tooltip_modifier_item_0255_shield_Description,Nhận thêm giới hạn khiên tối đa và lượng khiên hiện có.
DOTA_Tooltip_modifier_item_0256_buff,Chế độ ngủ
DOTA_Tooltip_modifier_item_0256_buff_Description,Tăng sức tấn công.
DOTA_Tooltip_modifier_item_0257_buff,Ảo động
DOTA_Tooltip_modifier_item_0257_buff_Description,Tăng tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0258,Phụ hồn
DOTA_Tooltip_modifier_item_0258_Description,"Giết kẻ địch nhận linh hồn, chết mất tất cả linh hồn."
DOTA_Tooltip_modifier_item_0265_exposed,Phơi bày
DOTA_Tooltip_modifier_item_0265_exposed_Description,Tất cả sát thương phải chịu tăng lên.
DOTA_Tooltip_modifier_item_0266_serenity,Gieo hạt
DOTA_Tooltip_modifier_item_0266_serenity_Description,Liên tục hồi máu cho đồng minh trong phạm vi tại vị trí rơi.
DOTA_Tooltip_modifier_item_0269_empowered_attack,Nổ chậm
DOTA_Tooltip_modifier_item_0269_empowered_attack_Description,Đòn tấn công tiếp theo gây thêm sát thương phép và đẩy lùi.
DOTA_Tooltip_modifier_item_0270_dizzy_pollen,Phấn hoa say
DOTA_Tooltip_modifier_item_0270_dizzy_pollen_Description,Đòn tấn công có xác suất trượt.
DOTA_Tooltip_modifier_item_0271_psionic_surge,Dâng trào tâm linh
DOTA_Tooltip_modifier_item_0271_psionic_surge_Description,Giảm thời gian hồi chiêu tăng lên.
DOTA_Tooltip_modifier_item_0272_unyielding_shield,Bất khuất
DOTA_Tooltip_modifier_item_0272_unyielding_shield_Description,Nhận thêm giới hạn khiên và khiên tạm thời.
DOTA_Tooltip_modifier_item_0274_chorus,Đồng thanh
DOTA_Tooltip_modifier_item_0274_chorus_Description,Từ từ hồi mana.
DOTA_Tooltip_modifier_item_0275_shocked_slow,Sét đóng chai
DOTA_Tooltip_modifier_item_0275_shocked_slow_Description,Tốc độ di chuyển giảm.
DOTA_Tooltip_modifier_item_0277_charged,Tích lực
DOTA_Tooltip_modifier_item_0277_charged_Description,"Đòn tấn công tiếp theo chắc chắn chí mạng, và tăng sát thương chí mạng."
DOTA_Tooltip_modifier_item_0278_resonant_armor,Giáp cộng hưởng
DOTA_Tooltip_modifier_item_0278_resonant_armor_Description,"Càng nhiều kẻ địch gần đó, khả năng giảm sát thương càng cao."
DOTA_Tooltip_modifier_item_0280_bloodlust,Khát Máu
DOTA_Tooltip_modifier_item_0280_bloodlust_Description,Tăng sát thương tấn công cơ bản và hút máu từ đòn đánh.
DOTA_Tooltip_modifier_item_0283_free_mana,Cộng Hưởng Ma Lực
DOTA_Tooltip_modifier_item_0283_free_mana_Description,Đòn đánh tiếp theo không tiêu hao năng lượng.
DOTA_Tooltip_modifier_item_0284_fate_gaze,Ánh Nhìn Định Mệnh
DOTA_Tooltip_modifier_item_0284_fate_gaze_Description,Giảm kháng phép và giáp.
DOTA_Tooltip_modifier_item_0286_armor_break,Mục Giáp
DOTA_Tooltip_modifier_item_0286_armor_break_Description,Giảm giáp.
DOTA_Tooltip_modifier_item_0287_seismic_slow,Chậm Địa Chấn
DOTA_Tooltip_modifier_item_0287_seismic_slow_Description,Giảm tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0290_web_walk,Đi Trên Mạng Nhện
DOTA_Tooltip_modifier_item_0290_web_walk_Description,"Thay thế tốc độ di chuyển và loại bỏ giới hạn di chuyển, đồng thời miễn nhiễm hiệu ứng bẫy."
DOTA_Tooltip_modifier_item_0293_holy_aura_effect,Hào Quang Thánh Thần
DOTA_Tooltip_modifier_item_0293_holy_aura_effect_Description,"Tăng tốc độ hồi máu, tăng giáp theo phần trăm."
DOTA_Tooltip_modifier_item_0294_aggressive,Bộ Cộng Hưởng (Tấn Công)
DOTA_Tooltip_modifier_item_0294_aggressive_Description,"Tăng sát thương gây ra, nhưng cũng tăng sát thương phải nhận."
DOTA_Tooltip_modifier_item_0294_defensive,Bộ Cộng Hưởng (Phòng Thủ)
DOTA_Tooltip_modifier_item_0294_defensive_Description,"Tăng giáp và kháng phép, nhưng sát thương gây ra giảm."
DOTA_Tooltip_modifier_item_0305_buff,Vụng về
DOTA_Tooltip_modifier_item_0305_buff_Description,"Giảm tốc độ di chuyển, tăng sát thương tối đa và máu tối đa."
DOTA_Tooltip_modifier_item_0307_vortex,Xoáy cuốn
DOTA_Tooltip_modifier_item_0307_vortex_Description,Giảm tốc độ di chuyển và chịu sát thương phép liên tục.
DOTA_Tooltip_modifier_item_0308_valor,Dũng cảm
DOTA_Tooltip_modifier_item_0308_valor_Description,"Khi tấn công hoặc sử dụng kỹ năng, nhận thêm máu tối đa, có thể cộng dồn tối đa số lớp nhất định."
DOTA_Tooltip_modifier_item_0314_emperor_crown_aura,Uy lực hoàng đế
DOTA_Tooltip_modifier_item_0314_emperor_crown_aura_Description,Nhận thêm tất cả thuộc tính.
DOTA_Tooltip_modifier_item_0317_madness,Điên cuồng
DOTA_Tooltip_modifier_item_0317_madness_Description,"Tăng tốc độ tấn công và tốc độ di chuyển, giảm giáp."
DOTA_Tooltip_modifier_item_0332_madness,Điên cuồng
DOTA_Tooltip_modifier_item_0332_madness_Description,Tăng tốc độ tấn công và tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0336_sage_boots,Tăng sát thương phép
DOTA_Tooltip_modifier_item_0336_sage_boots_Description,Tăng sát thương phép dựa trên lượng mana tối đa.
DOTA_Tooltip_modifier_item_0337_archmage_focus,Đại Pháp Sư
DOTA_Tooltip_modifier_item_0337_archmage_focus_Description,"Tăng sát thương kỹ năng, sau khi cộng dồn đầy sẽ giải phóng Bùng Nổ Huyền Thuật."
DOTA_Tooltip_modifier_item_0339_secret,Ẩn Mật
DOTA_Tooltip_modifier_item_0339_secret_Description,"Khi tung kỹ năng sẽ nhận được máu và mana, số lớp sẽ giảm dần theo thời gian."
DOTA_Tooltip_modifier_item_0340_charged,Đòn Đánh Hủy Diệt
DOTA_Tooltip_modifier_item_0340_charged_Description,Đòn tấn công tiếp theo gây sát thương diện rộng và giảm sức tấn công của kẻ địch.
DOTA_Tooltip_modifier_item_0340_destroyed,Hủy Diệt
DOTA_Tooltip_modifier_item_0340_destroyed_Description,"Giảm sức tấn công, có thể cộng dồn."
DOTA_Tooltip_modifier_item_0341_freeze,Đóng Băng
DOTA_Tooltip_modifier_item_0341_freeze_Description,Giảm tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0348_butcher,Chém Phù Đồ
DOTA_Tooltip_modifier_item_0348_butcher_Description,Khi máu bị tổn thất sẽ nhận hiệu ứng tăng sát thương.
DOTA_Tooltip_modifier_item_0349_boil_aura_effect,Sôi Sục
DOTA_Tooltip_modifier_item_0349_boil_aura_effect_Description,Tăng tốc độ tấn công.
DOTA_Tooltip_modifier_item_0350_swift_aura_effect,Nhanh Nhẹn
DOTA_Tooltip_modifier_item_0350_swift_aura_effect_Description,Tăng tốc độ di chuyển và hồi máu.
DOTA_Tooltip_modifier_item_0351_storm_ready,Bão Liên Kích
DOTA_Tooltip_modifier_item_0351_storm_ready_Description,Đòn đánh thường tiếp theo gây thêm sát thương vật lý lớn.
DOTA_Tooltip_modifier_item_0352_sonic_barrier,Rào Cản Âm Thanh
DOTA_Tooltip_modifier_item_0352_sonic_barrier_Description,Tăng tốc độ tấn công và tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0360_hunt,Săn đuổi
DOTA_Tooltip_modifier_item_0360_hunt_Description,Nhận sát thương khi tốc độ di chuyển vượt ngưỡng.
DOTA_Tooltip_modifier_item_0364_torment,Hành hạ
DOTA_Tooltip_modifier_item_0364_torment_Description,"Nhận tối đa máu khi chịu sát thương, số lớp giảm dần theo thời gian."
DOTA_Tooltip_modifier_item_0365_corrosion,Ăn mòn
DOTA_Tooltip_modifier_item_0365_corrosion_Description,Mỗi lớp độc giảm giáp.
DOTA_Tooltip_modifier_item_0367_momentum,Tích lũy
DOTA_Tooltip_modifier_item_0367_momentum_Description,"Di chuyển tích lũy sát thương, sau đó giảm dần theo thời gian."
DOTA_Tooltip_modifier_item_0367_sonic_barrier,Rào cản âm thanh
DOTA_Tooltip_modifier_item_0367_sonic_barrier_Description,Tăng tốc độ tấn công và tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0370_shadow_haste,Hoang dã
DOTA_Tooltip_modifier_item_0370_shadow_haste_Description,Tăng tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0375_slow,Chậm chạp
DOTA_Tooltip_modifier_item_0375_slow_Description,Giảm tốc độ di chuyển.
DOTA_Tooltip_modifier_item_0376_adventure,Mạo hiểm
DOTA_Tooltip_modifier_item_0376_adventure_Description,"Tăng may mắn, nhưng dễ bị sát thương hơn và giảm sát thương gây ra."
DOTA_Tooltip_modifier_item_0379_doom,Vận rủi
DOTA_Tooltip_modifier_item_0379_doom_Description,Giảm kháng phép.
DOTA_Tooltip_modifier_item_0384_sage_cache,Kho báu hiền giả
DOTA_Tooltip_modifier_item_0384_sage_cache_Description,Tự động hồi mana khi mana thấp sau khi dùng kỹ năng.
DOTA_Tooltip_modifier_item_0385_lionheart_barrier,Tường thành Sư Tâm
DOTA_Tooltip_modifier_item_0385_lionheart_barrier_Description,"Sau khi chịu sát thương, tự động hồi khiên khi khiên thấp."
DOTA_Tooltip_modifier_item_0392,Vô úy
DOTA_Tooltip_modifier_item_0392_Description,Tăng sát thương cộng thêm.
DOTA_Tooltip_modifier_item_0393_stealth_haste,Tàng hình
DOTA_Tooltip_modifier_item_0393_stealth_haste_Description,"Tăng tốc độ tấn công, có thể chồng lấp."
DOTA_Tooltip_modifier_item_0406_storm_ready,Bão liên kích
DOTA_Tooltip_modifier_item_0406_storm_ready_Description,Đòn đánh thường tiếp theo gây thêm sát thương vật lý lớn.
DOTA_Tooltip_modifier_item_0412_blood_haste,Mặt nạ huyết vụ
DOTA_Tooltip_modifier_item_0412_blood_haste_Description,Hồi máu theo phần trăm máu tối đa của bản thân.
DOTA_Tooltip_modifier_item_0422_battle_standard_buff,Chiến Kỳ Vương Đình
DOTA_Tooltip_modifier_item_0422_battle_standard_buff_Description,Tăng sát thương vật lý cho đồng minh xung quanh chiến kỳ.
DOTA_Tooltip_modifier_item_0424_thorn_energy,Gai Vương Miện
DOTA_Tooltip_modifier_item_0424_thorn_energy_Description,Tích trữ năng lượng gai khi khiên hấp thụ sát thương.
DOTA_Tooltip_modifier_item_0169_aura_effect,Phá Hủy
DOTA_Tooltip_modifier_item_0169_aura_effect_Description,Giảm giáp.
DOTA_Tooltip_modifier_item_0178_maim,Tàn Phế
DOTA_Tooltip_modifier_item_0178_maim_Description,"Giảm sức tấn công, giảm tốc độ di chuyển."
DOTA_Tooltip_modifier_item_0233_aura_effect,Nhìn Chằm Chằm
DOTA_Tooltip_modifier_item_0233_aura_effect_Description,Giảm tốc độ đánh.
DOTA_Tooltip_modifier_item_0231_essence_ring,Cường Tráng
DOTA_Tooltip_modifier_item_0231_essence_ring_Description,Tăng giới hạn máu tối đa.
DOTA_Tooltip_modifier_item_0224_shield,Nhật Diệu
DOTA_Tooltip_modifier_item_0224_shield_Description,Nhận thêm giới hạn khiên và khiên hiện tại.
DOTA_Tooltip_modifier_item_0150_corrosion,Ăn Mòn
DOTA_Tooltip_modifier_item_0150_corrosion_Description,"Giảm giáp, giảm tốc độ di chuyển."
DOTA_Tooltip_modifier_item_0152_phase,Pha
DOTA_Tooltip_modifier_item_0152_phase_Description,Tăng tốc độ di chuyển và nhận trạng thái Phase.
DOTA_Tooltip_modifier_item_0155_madness,Điên cuồng
DOTA_Tooltip_modifier_item_0155_madness_Description,"Tăng tốc độ đánh và tốc độ di chuyển, giảm giáp, và bị câm lặng."
DOTA_Tooltip_modifier_item_0145_ghost,Hồn ma
DOTA_Tooltip_modifier_item_0145_ghost_Description,"Ở trạng thái hư vô, miễn nhiễm sát thương vật lý, không thể tấn công, và chịu thêm sát thương phép."
DOTA_Tooltip_modifier_item_0149_sacrifice,Hy sinh
DOTA_Tooltip_modifier_item_0149_sacrifice_Description,Tăng mana tối đa.
DOTA_Tooltip_item_P010_modifier,Thuốc ấm
DOTA_Tooltip_item_P010_modifier_Description,"Miễn nhiễm đóng băng, và hồi phục một lượng nhỏ máu liên tục."
DOTA_Tooltip_item_P017_modifier,Hồi sinh
DOTA_Tooltip_item_P017_modifier_Description,"Trong 120 giây, nếu chịu sát thương chí mạng, miễn nhiễm sát thương đó và hồi phục 50% máu tối đa, hiệu ứng sẽ bị loại bỏ sau khi kích hoạt."
DOTA_Tooltip_item_P017_invulnerable,Bảo hộ hồi sinh
DOTA_Tooltip_item_P017_invulnerable_Description,"Trong thời gian ngắn, nhận giảm sát thương hoàn toàn."
DOTA_Tooltip_item_P019_modifier,Thuốc sức mạnh
DOTA_Tooltip_item_P019_modifier_Description,"Sau khi sử dụng, nhận thêm 30% sức mạnh cơ bản, kéo dài 120 giây."
DOTA_Tooltip_item_P049_modifier,Thuốc phát sáng
DOTA_Tooltip_item_P049_modifier_Description,"Sau khi sử dụng, cơ thể phát sáng, kéo dài 360 giây."
DOTA_Tooltip_modifier_item_P221_winner_blessing,Phước lành của kẻ chiến thắng
DOTA_Tooltip_modifier_item_P221_winner_blessing_Description,"Sau khi rơi trúng mục tiêu, tiến hành xác suất rơi gấp đôi."
DOTA_Tooltip_modifier_item_P222_ender_special,Pha chế đặc biệt của Ender
DOTA_Tooltip_modifier_item_P222_ender_special_Description,Tăng khả năng né tránh.
DOTA_Tooltip_modifier_item_P223_hunting_blood,Máu Săn Mồi
DOTA_Tooltip_modifier_item_P223_hunting_blood_Description,Tăng sức tấn công.
DOTA_Tooltip_modifier_item_potion_generic,Hiệu ứng Thuốc
DOTA_Tooltip_modifier_item_potion_generic_Description,Hiệu ứng tạm thời từ thuốc.
DOTA_Tooltip_modifier_item_P006_potion,Thuốc Phòng Thủ
DOTA_Tooltip_modifier_item_P006_potion_Description,Giáp cố định. Tăng 5 điểm giáp.
DOTA_Tooltip_modifier_item_P007_potion,Thuốc Hồi Phục
DOTA_Tooltip_modifier_item_P007_potion_Description,Tăng 3 điểm hồi máu.
DOTA_Tooltip_modifier_item_P008_potion,Thuốc Tăng Tốc
DOTA_Tooltip_modifier_item_P008_potion_Description,"Nhanh nhẹn. Sau khi dùng, tốc độ di chuyển tăng 25%."
DOTA_Tooltip_modifier_item_P009_potion,Thuốc Cuồng Nộ
DOTA_Tooltip_modifier_item_P009_potion_Description,"Cuồng nộ. Sau khi dùng, sức tấn công tăng 10 điểm, tốc độ đánh tăng 30%."
DOTA_Tooltip_modifier_item_P011_potion,Thuốc Kiên Nghị
DOTA_Tooltip_modifier_item_P011_potion_Description,"Kiên nghị. Sau khi dùng, tổng máu tối đa tăng 25%."
DOTA_Tooltip_modifier_item_P012_potion,Thuốc Huyền Nghĩa
DOTA_Tooltip_modifier_item_P012_potion_Description,"Bình tĩnh. Tăng 10% giảm thời gian hồi chiêu, 1 điểm hồi mana."
DOTA_Tooltip_modifier_item_P014_potion,Thuốc Huyền Bí
DOTA_Tooltip_modifier_item_P014_potion_Description,"Huyền bí. Tăng 20 điểm mana tối đa, 2 điểm hồi mana."
DOTA_Tooltip_modifier_item_P015_potion,Thuốc Cuồng Bạo
DOTA_Tooltip_modifier_item_P015_potion_Description,"Sử dụng để tăng tốc độ tấn công, tỷ lệ chí mạng và sát thương chí mạng."
DOTA_Tooltip_modifier_item_P016_potion,Thuốc Bảo Hộ
DOTA_Tooltip_modifier_item_P016_potion_Description,Bảo hộ. Sử dụng để tăng 20% giảm sát thương.
DOTA_Tooltip_modifier_item_P018_potion,Thuốc Hỗn Loạn
DOTA_Tooltip_modifier_item_P018_potion_Description,"Hỗn loạn. Sử dụng sẽ nhận thêm 25% sát thương, gây thêm 30% sát thương."
DOTA_Tooltip_modifier_item_P020_potion,Thuốc Hút Máu
DOTA_Tooltip_modifier_item_P020_potion_Description,Hút máu. Sử dụng để nhận 20% hút máu từ đòn đánh và 10% hút máu từ kỹ năng.
DOTA_Tooltip_modifier_item_P021_potion,Thuốc Kháng Phép
DOTA_Tooltip_modifier_item_P021_potion_Description,Kháng phép. Sử dụng để nhận kháng phép trong một thời gian.
DOTA_Tooltip_modifier_item_P022_potion,Thuốc Phòng Thủ Mạnh
DOTA_Tooltip_modifier_item_P022_potion_Description,"Phòng thủ II. Tăng 10 giáp, thời gian 120 giây."
DOTA_Tooltip_modifier_item_P023_potion,Thuốc Phòng Thủ Tối Thượng
DOTA_Tooltip_modifier_item_P023_potion_Description,"Phòng thủ III. Tăng 15 giáp, thời gian 240 giây."
DOTA_Tooltip_modifier_item_P024_potion,Thuốc Khiên Đá
DOTA_Tooltip_modifier_item_P024_potion_Description,"Khiên đá. Tăng 20% giáp, tăng 15% giảm sát thương, thời gian 600 giây."
DOTA_Tooltip_modifier_item_P025_potion,Thuốc Hồi Phục Mạnh
DOTA_Tooltip_modifier_item_P025_potion_Description,Hồi phục II. Tăng 10 hồi máu mỗi giây.
DOTA_Tooltip_modifier_item_P026_potion,Thuốc Hồi Phục Tối Thượng
DOTA_Tooltip_modifier_item_P026_potion_Description,Hồi phục III. Tăng 20 hồi máu mỗi giây.
DOTA_Tooltip_modifier_item_P027_potion,Thuốc Dưỡng Chất
DOTA_Tooltip_modifier_item_P027_potion_Description,"Dưỡng. Hồi phục 2% máu mỗi giây, tăng 500 máu tối đa."
DOTA_Tooltip_modifier_item_P028_potion,Thuốc Cuồng Nộ
DOTA_Tooltip_modifier_item_P028_potion_Description,"Cuồng nộ. Tăng 30 sát thương, tăng 40% tốc độ đánh."
DOTA_Tooltip_modifier_item_P029_potion,Thuốc Tử Chiến
DOTA_Tooltip_modifier_item_P029_potion_Description,"Tử chiến. Tăng 20% sát thương, tăng 50% tốc độ đánh."
DOTA_Tooltip_modifier_item_P030_potion,Thuốc Khai Sáng
DOTA_Tooltip_modifier_item_P030_potion_Description,Khai sáng. Tăng 5% kinh nghiệm nhận được.
DOTA_Tooltip_modifier_item_P031_potion,Thuốc Khai Sáng Mạnh
DOTA_Tooltip_modifier_item_P031_potion_Description,Khai sáng II. Tăng 10% kinh nghiệm nhận được.
DOTA_Tooltip_modifier_item_P032_potion,Thuốc Khai Sáng Tối Thượng
DOTA_Tooltip_modifier_item_P032_potion_Description,Khai sáng III. Tăng 15% kinh nghiệm nhận được.
DOTA_Tooltip_modifier_item_P033_potion,Thuốc Tri Thức Vô Tận
DOTA_Tooltip_modifier_item_P033_potion_Description,"Tri thức. Tăng 25% kinh nghiệm nhận được, tăng 80 mana tối đa."
DOTA_Tooltip_modifier_item_P034_potion,Thuốc Kiểm Soát Phép Thuật
DOTA_Tooltip_modifier_item_P034_potion_Description,Pháp cường. Tăng 15% sát thương phép.
DOTA_Tooltip_modifier_item_P035_potion,Thuốc Kiểm Soát Phép Thuật Mạnh
DOTA_Tooltip_modifier_item_P035_potion_Description,Pháp cường II. Tăng 20% sát thương phép.
DOTA_Tooltip_modifier_item_P036_potion,Thuốc Kiểm Soát Phép Thuật Tối Thượng
DOTA_Tooltip_modifier_item_P036_potion_Description,Pháp cường III. Tăng 25% sát thương phép.
DOTA_Tooltip_modifier_item_P037_potion,Thuốc Bão Huyền Bí
DOTA_Tooltip_modifier_item_P037_potion_Description,"Huyền thuật. Tăng 30% sát thương phép, tỷ lệ chí mạng kỹ năng tăng 15%"
DOTA_Tooltip_modifier_item_P040_potion,Thuốc Tăng Tốc Mạnh
DOTA_Tooltip_modifier_item_P040_potion_Description,"Tăng tốc II. Sau khi dùng, tăng 30% tốc độ di chuyển"
DOTA_Tooltip_modifier_item_P041_potion,Thuốc Tăng Tốc Cực Mạnh
DOTA_Tooltip_modifier_item_P041_potion_Description,"Tăng tốc III. Sau khi dùng, tăng 35% tốc độ di chuyển"
DOTA_Tooltip_modifier_item_P042_potion,Thuốc Gió Bay
DOTA_Tooltip_modifier_item_P042_potion_Description,"Gió bay. Sau khi dùng, tăng 50% tốc độ di chuyển, tăng 20% né tránh trong 600 giây"
DOTA_Tooltip_modifier_item_P043_potion,Thuốc Hồi Pháp
DOTA_Tooltip_modifier_item_P043_potion_Description,"Hồi pháp. Sau khi dùng, tăng hồi phục mana 2 điểm mỗi giây"
DOTA_Tooltip_modifier_item_P044_potion,Thuốc Hồi Pháp Mạnh
DOTA_Tooltip_modifier_item_P044_potion_Description,"Hồi pháp II. Sau khi dùng, tăng hồi phục mana 5 điểm mỗi giây"
DOTA_Tooltip_modifier_item_P045_potion,Thuốc Hồi Pháp Cực Mạnh
DOTA_Tooltip_modifier_item_P045_potion_Description,"Hồi pháp III. Sau khi dùng, tăng hồi phục mana 10 điểm mỗi giây"
